release_date,movie_title,production_budget,domestic_gross,worldwide_gross,genres,start_year,runtime_minutes,averagerating,numvotes,Revenue
04-11-2016,Doctor Strange,165000000.0,232641920.0,676404566.0,"Action,Adventure,Fantasy",2016,115.0,7.5,514510,511404566.0
07-11-2014,Big Hero 6,165000000.0,222527828.0,652127828.0,"Action,Adventure,Animation",2014,102.0,7.8,371204,487127828.0
26-03-2010,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,"Action,Adventure,Animation",2010,98.0,8.1,611299,329870992.0
02-11-2012,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,"Adventure,Animation,Comedy",2012,101.0,7.7,344496,331511521.0
05-11-2014,Interstellar,165000000.0,188017894.0,666379375.0,"Adventure,Drama,Sci-Fi",2014,169.0,8.6,1299334,501379375.0
24-06-2016,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,"Action,Adventure,Sci-Fi",2016,120.0,5.2,155344,219169424.0
17-03-2017,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,"Drama,Fantasy,Romance",2014,112.0,6.4,18100,1099199706.0
17-03-2017,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,"Family,Fantasy,Musical",2017,129.0,7.2,238325,1099199706.0
13-11-1991,Beauty and the Beast,20000000.0,376057266.0,608431132.0,"Drama,Fantasy,Romance",2014,112.0,6.4,18100,588431132.0
13-11-1991,Beauty and the Beast,20000000.0,376057266.0,608431132.0,"Family,Fantasy,Musical",2017,129.0,7.2,238325,588431132.0
21-12-2018,Aquaman,160000000.0,335061807.0,1146894640.0,"Action,Adventure,Fantasy",2018,143.0,7.1,263328,986894640.0
16-07-2010,Inception,160000000.0,292576195.0,835524642.0,"Action,Adventure,Sci-Fi",2010,148.0,8.8,1841066,675524642.0
20-11-2015,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,"Action,Adventure,Sci-Fi",2015,137.0,6.6,252384,488986787.0
16-05-2014,Godzilla,160000000.0,200676069.0,529076069.0,"Action,Adventure,Sci-Fi",2014,123.0,6.4,350687,369076069.0
19-05-1998,Godzilla,125000000.0,136314294.0,376000000.0,"Action,Adventure,Sci-Fi",2014,123.0,6.4,350687,251000000.0
03-06-2011,X-Men: First Class,160000000.0,146408305.0,355408305.0,"Action,Adventure,Sci-Fi",2011,131.0,7.7,608930,195408305.0
14-07-2010,The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,"Action,Adventure,Family",2010,109.0,6.1,143862,57986320.0
10-06-2016,Warcraft,160000000.0,47225655.0,425522281.0,"Action,Adventure,Fantasy",2016,123.0,6.9,225557,265522281.0
